logic,total_order_qty,total_order_amount,total_stock_value,avg_safety_stock,avg_days_covered,stockout_risk,stockout_rate,overstock_rate,optimal_count,optimal_rate,active_products,period,scenario
現行ロジック（フル）,71,27528,59446,1.27,16.2,0,0.0,20.0,7,46.7,15,2025年5月,通常時
CV調整なし,71,27528,59446,1.34,16.2,0,0.0,20.0,7,46.7,15,2025年5月,通常時
√日数計算なし,74,28626,60544,1.44,16.3,0,0.0,20.0,7,46.7,15,2025年5月,通常時
月末調整なし,71,27528,59446,1.27,16.2,0,0.0,20.0,7,46.7,15,2025年5月,通常時
最小限ロジック,53,20413,52331,0.0,14.3,0,0.0,20.0,10,66.7,15,2025年5月,通常時
シンプル安全在庫,72,27738,59656,1.45,16.2,0,0.0,20.0,7,46.7,15,2025年5月,通常時
現行ロジック（フル）,68,26870,58788,0.89,16.1,0,0.0,20.0,7,46.7,15,2025年5月,月末3日前
CV調整なし,68,26870,58788,0.94,16.1,0,0.0,20.0,7,46.7,15,2025年5月,月末3日前
√日数計算なし,69,27080,58998,1.01,16.2,0,0.0,20.0,7,46.7,15,2025年5月,月末3日前
月末調整なし,71,27528,59446,1.27,16.2,0,0.0,20.0,7,46.7,15,2025年5月,月末3日前
最小限ロジック,53,20413,52331,0.0,14.3,0,0.0,20.0,10,66.7,15,2025年5月,月末3日前
シンプル安全在庫,72,27738,59656,1.45,16.2,0,0.0,20.0,7,46.7,15,2025年5月,月末3日前
現行ロジック（フル）,64,27248,59166,1.2,11.1,0,0.0,0.0,13,76.5,17,2025年10月,通常時
CV調整なし,64,27528,59446,1.2,11.2,0,0.0,0.0,13,76.5,17,2025年10月,通常時
√日数計算なし,68,28683,60601,1.37,11.3,0,0.0,0.0,13,76.5,17,2025年10月,通常時
月末調整なし,64,27248,59166,1.2,11.1,0,0.0,0.0,13,76.5,17,2025年10月,通常時
最小限ロジック,45,20053,51971,0.0,9.3,0,0.0,0.0,16,94.1,17,2025年10月,通常時
シンプル安全在庫,64,27528,59446,1.29,11.2,0,0.0,0.0,13,76.5,17,2025年10月,通常時
現行ロジック（フル）,61,26590,58508,0.84,11.0,0,0.0,0.0,13,76.5,17,2025年10月,月末3日前
CV調整なし,59,26142,58060,0.84,11.0,0,0.0,0.0,13,76.5,17,2025年10月,月末3日前
√日数計算なし,62,26814,58732,0.96,11.0,0,0.0,0.0,13,76.5,17,2025年10月,月末3日前
月末調整なし,64,27248,59166,1.2,11.1,0,0.0,0.0,13,76.5,17,2025年10月,月末3日前
最小限ロジック,45,20053,51971,0.0,9.3,0,0.0,0.0,16,94.1,17,2025年10月,月末3日前
シンプル安全在庫,64,27528,59446,1.29,11.2,0,0.0,0.0,13,76.5,17,2025年10月,月末3日前
現行ロジック（フル）,47,15784,47702,1.73,14.1,0,0.0,9.1,9,81.8,11,2026年1月,通常時
CV調整なし,43,14916,46834,1.44,13.9,0,0.0,9.1,9,81.8,11,2026年1月,通常時
√日数計算なし,50,16445,48363,1.96,14.4,0,0.0,9.1,9,81.8,11,2026年1月,通常時
月末調整なし,47,15784,47702,1.73,14.1,0,0.0,9.1,9,81.8,11,2026年1月,通常時
最小限ロジック,30,12016,43934,0.0,13.2,0,0.0,9.1,9,81.8,11,2026年1月,通常時
シンプル安全在庫,45,15388,47306,1.56,14.1,0,0.0,9.1,9,81.8,11,2026年1月,通常時
現行ロジック（フル）,43,14916,46834,1.21,13.9,0,0.0,9.1,9,81.8,11,2026年1月,月末3日前
CV調整なし,40,14293,46211,1.01,13.7,0,0.0,9.1,9,81.8,11,2026年1月,月末3日前
√日数計算なし,45,15350,47268,1.37,14.0,0,0.0,9.1,9,81.8,11,2026年1月,月末3日前
月末調整なし,47,15784,47702,1.73,14.1,0,0.0,9.1,9,81.8,11,2026年1月,月末3日前
最小限ロジック,30,12016,43934,0.0,13.2,0,0.0,9.1,9,81.8,11,2026年1月,月末3日前
シンプル安全在庫,45,15388,47306,1.56,14.1,0,0.0,9.1,9,81.8,11,2026年1月,月末3日前
