logic,total_order_qty,total_order_amount,total_stock_value,avg_days_covered,stockout_risk,stockout_rate,overstock_risk,overstock_rate,optimal_count,optimal_rate,active_products,period
現行ロジック,71,27528,59446,16.2,0,0.0,3,20.0,7,46.7,15,2025年5月
シンプル×1.5,87,33421,65339,17.1,0,0.0,3,20.0,7,46.7,15,2025年5月
シンプル×2.0,117,42960,74878,18.4,0,0.0,3,20.0,6,40.0,15,2025年5月
ランク重み付け,111,41189,73107,17.4,0,0.0,3,20.0,7,46.7,15,2025年5月
ランク重み付け（保守的）,81,30305,62223,15.9,1,6.7,3,20.0,7,46.7,15,2025年5月
バランス型,96,35235,67153,16.5,1,6.7,3,20.0,7,46.7,15,2025年5月
現行ロジック,64,27248,59166,11.1,0,0.0,0,0.0,13,76.5,17,2025年10月
シンプル×1.5,77,31483,63401,11.9,0,0.0,0,0.0,13,76.5,17,2025年10月
シンプル×2.0,109,43743,75661,14.3,0,0.0,0,0.0,9,52.9,17,2025年10月
ランク重み付け,97,39609,71527,12.2,1,5.9,0,0.0,11,64.7,17,2025年10月
ランク重み付け（保守的）,69,28735,60653,10.4,1,5.9,0,0.0,14,82.4,17,2025年10月
バランス型,84,32997,64915,11.0,1,5.9,0,0.0,14,82.4,17,2025年10月
現行ロジック,42,14654,46572,13.9,0,0.0,1,9.1,9,81.8,11,2026年1月
シンプル×1.5,54,17403,49321,14.6,0,0.0,1,9.1,9,81.8,11,2026年1月
シンプル×2.0,79,25084,57002,17.0,0,0.0,1,9.1,6,54.5,11,2026年1月
ランク重み付け,71,21839,53757,15.2,1,9.1,1,9.1,6,54.5,11,2026年1月
ランク重み付け（保守的）,50,16297,48215,13.9,1,9.1,1,9.1,8,72.7,11,2026年1月
バランス型,66,19855,51773,14.8,1,9.1,1,9.1,8,72.7,11,2026年1月
