product_id,product_name,supplier_name,rank,sept_avg_daily_sales,sept_stock,oct_avg_daily_sales,oct_actual_sales,current_order_per_cycle,current_total_order,current_oct_end_stock,current_stockout,moderate_order_per_cycle,moderate_total_order,moderate_oct_end_stock,moderate_stockout,cost,current_stock_value,moderate_stock_value
2185,有機オリーブオイル オルチョサンニータ 440g,A.ゆうき八百屋,A,0.14,0,0.07,2.2,1.4,5.6,3.4,False,1.8,7.3,5.1,False,2870,9844.0,14666.0
1972,井上古式じょうゆ 720ml,A.ゆうき八百屋,A,0.86,2,0.83,25.7,6.6,26.4,2.7,False,9.2,36.7,13.0,False,814,2173.0,10574.0
1864,松田マヨネーズ甘口 300g,A.ゆうき八百屋,A,1.36,6,0.47,14.6,7.6,30.4,21.8,False,11.7,46.7,38.2,False,444,9693.0,16939.0
14637,玄米味噌 1kg,A.ゆうき八百屋,A,0.21,0,0.17,5.3,2.1,8.4,3.1,False,2.7,10.9,5.7,False,1085,3396.0,6130.0
10499,無茶々園のちりめん 40g,A.ゆうき八百屋,A,0.71,0,0.5,15.5,7.1,28.4,12.9,False,9.2,36.9,21.4,False,339,4373.0,7261.0
1560,有機玄米ごはん 160g,A.ゆうき八百屋,A,1.29,0,0.97,30.1,12.9,51.6,21.5,False,16.8,67.1,37.0,False,189,4069.0,6995.0
9352218005645,国産有機大麦茶 TB 10gx40,A.ゆうき八百屋,A,0.57,1,0.43,13.3,4.7,18.8,6.5,False,6.4,25.6,13.3,False,486,3144.0,6469.0
9352218002033,有機スパゲティ 500g,A.ゆうき八百屋,A,0.79,2,0.63,19.5,5.9,23.6,6.1,False,8.3,33.1,15.6,False,378,2294.0,5878.0
1973,井上古式じょうゆ 360ml,A.ゆうき八百屋,A,0.36,-1,0.27,8.4,4.6,18.4,9.0,False,5.7,22.7,13.3,False,543,4903.0,7249.0
1667,吉野本葛 100g,A.ゆうき八百屋,A,0.36,1,0.13,4.0,2.6,10.4,7.4,False,3.7,14.7,11.7,False,693,5107.0,8101.0
